country,sect,t,upstreamness,downstreamness,u_n,u_d,d_n,d_d,source
USA,19.0,2014,1.35540457000807,1.60925321350874,345536.965893362,254932.714216321,483527.004830285,300466.701431048,ADB
USA,19.0,2015,1.34012919615152,1.61010217400244,364893.46040615,272282.300433438,524535.22747921,325777.603402215,ADB
USA,19.0,2016,1.33371853655201,1.59656563660925,380748.407138378,285478.829830698,543503.793022061,340420.575615257,ADB
USA,19.0,2017,1.35552449440242,1.35004710592324,281318.979513126,207535.150176055,276171.948701216,204564.675920958,ADB
USA,19.0,2018,1.32895203747084,1.62655391545487,486782.705403723,366290.649834232,737369.960535368,453332.6276671,ADB
USA,19.0,2019,1.40892896134641,1.37243714298151,317905.830513304,225636.521950337,299796.150766649,218440.714971737,ADB
USA,19.0,2020,1.19323084182685,1.35141474804253,389515.878344249,326437.990613699,488151.119211672,361214.882343662,ADB
USA,19.0,2021,1.19379625966433,1.45778039223345,497927.248635189,417095.668213265,724236.211094555,496807.485512244,ADB
USA,19.0,2022,1.20543020349923,1.601349909522,529956.797450308,439641.213495318,927375.470028848,579121.068115381,ADB
USA,19.0,2023,1.19228469546728,1.54737167248161,558628.143703315,468535.867169188,937646.080568907,605960.479465901,ADB
USA,19.0,2024,1.1927498855329,1.55577197753541,568332.462752583,476489.22011731,962498.809294394,618663.160921014,ADB
USA,20.0,2000,2.00585901315109,1.53820071381187,1252887.66579629,624614.022013479,663372.629208081,431265.323992831,ADB
USA,20.0,2007,1.96400485061885,1.58275369438537,1690667.92471934,860826.756200025,1034373.59364377,653527.833997854,ADB
USA,20.0,2008,2.00925813464221,1.60028147917866,1765305.75449189,878585.844225658,1028235.19444978,642533.959074196,ADB
USA,20.0,2009,1.8866709699248,1.41677406537837,1555013.99671985,824210.48582829,810461.852489342,572047.352005203,ADB
USA,20.0,2010,1.94183680279781,1.54128415163585,1686442.05858013,868477.750627807,992236.845337468,643772.820400673,ADB
USA,20.0,2011,1.97728278086107,1.59690528168953,1794160.59266691,907386.950431834,1097396.99308377,687202.306653228,ADB
USA,20.0,2012,1.9912531766474,1.59366089737509,1916724.81289109,962572.130640975,1150808.54197928,722116.319647904,ADB
USA,20.0,2013,2.01363191529592,1.59732343186127,2017650.10220985,1001995.49226619,1173697.48369418,734790.124706643,ADB
USA,20.0,2014,1.99912812140642,1.61228717222171,2088299.13944578,1044604.95407199,1249725.35348713,775125.780951927,ADB
USA,20.0,2015,1.98307133343898,1.54875972786681,2169290.83292428,1093904.58948462,1228775.26887561,793393.091753534,ADB
USA,20.0,2016,1.95790550802861,1.53963539485232,2148966.73907364,1097584.50050912,1230226.16808064,799037.338446382,ADB
USA,20.0,2017,2.00061606180902,1.59486462835816,2330633.36857321,1164957.84126904,1379199.40494572,864775.216919532,ADB
USA,20.0,2018,2.09123898563115,1.56904300962268,2388830.61630492,1142303.97994611,1216721.89215794,775454.773830919,ADB
USA,20.0,2019,2.0400713683489,1.55781333446293,2599266.05211682,1274105.45162471,1366774.32973948,877367.204082054,ADB
USA,20.0,2020,1.98844871161319,1.5047891571214,2515825.77819177,1265220.35167341,1310752.78184315,871054.11122882,ADB
USA,20.0,2021,2.02671288940748,1.65541833078625,2867553.7033634,1414879.09725671,1799481.63251057,1087025.31501865,ADB
USA,20.0,2022,2.06114988247949,1.68630313325783,3283601.43808546,1593092.02401884,2081693.51835822,1234471.71347925,ADB
USA,20.0,2023,2.00318976710829,1.61158544347019,3309346.59518725,1652038.48857738,2029713.62808667,1259451.45279802,ADB
USA,20.0,2024,2.00518238741814,1.61356431494277,3421209.86366167,1706183.87889733,2081493.70387545,1289997.35839428,ADB
USA,21.0,2000,1.18920572981927,1.56394344480157,652790.363275506,548929.715781571,1094871.53145176,700071.051220575,ADB
